plate;fiber;mjd;logBH;e_logBH
 690;154;52261; 8.74; 0.10
2327;620;53710; 9.03; 0.08
 655;414;52162; 8.83; 0.17
 418;505;51817; 9.16; 0.79
 393;353;51794; 9.31; 0.12
2058;467;53349; 9.00; 0.07
1134;569;52644; 9.53; 0.05
 655;131;52162; 8.54; 0.32
2058;182;53349; 8.67; 0.08
1897;303;53242; 8.83; 0.14
1897;336;53242; 8.08; 0.17
 419;284;51879; 8.09; 0.13
 690;569;52261; 9.58; 0.19
 393;338;51794; 8.47; 0.08
 419;316;51879; 8.31; 0.14
 690;563;52261; 8.71; 0.12
 418;563;51817; 9.16; 0.07
 419;336;51879; 8.55; 0.47
 418; 52;51817; 9.85; 0.07
 392; 69;51793; 9.28; 0.05
 690; 59;52261; 8.64; 0.09
 655;182;52162; 8.16; 0.18
 691;314;52199; 8.52; 0.06
 655;125;52162; 9.10; 0.19
 655;181;52162; 8.63; 0.09
 655;184;52162; 9.06; 0.13
2327; 11;53710; 9.15; 0.25
 655;134;52162; 9.55; 0.04
1086; 38;52525; 8.33; 0.08
 418;566;51817; 8.55; 0.38
 419;266;51879; 8.44; 0.07
 419;295;51879; 8.61; 0.10
1897;394;53242; 9.11; 0.06
 655;457;52162; 8.65; 0.20
 392;623;51793; 9.07; 0.08
 393;298;51794; 9.55; 0.03
1905;294;53706; 8.40; 1.73
 690;546;52261; 8.69; 0.16
 690;110;52261; 8.18; 0.16
2327;634;53710; 9.03; 0.05
2058;491;53349; 9.68; 0.06
 392; 35;51793; 8.32; 0.20
 690; 41;52261; 9.34; 0.27
 655;482;52162;     ;
1085;383;52531; 8.40; 0.25
 655;536;52162; 9.05; 0.08
 419;271;51879; 9.29; 0.26
 419;345;51879; 9.27; 0.08
 393;261;51794; 9.31; 0.07
1905;228;53706; 8.50; 0.09
 690;549;52261; 8.79; 0.11
 690;605;52261; 9.06; 0.34
 419;298;51879; 8.72; 0.13
 418;560;51817; 9.14; 0.09
 690; 80;52261; 8.96; 0.18
 655; 84;52162; 9.33; 0.20
 392;631;51793; 8.90; 0.03
 691;288;52199; 9.29; 0.32
1495;432;52944; 8.58; 0.12
 419;387;51879; 8.99; 0.19
1495;250;52944;     ;
 656;345;52148; 9.24; 0.06
2327;635;53710; 9.43; 0.07
 655; 98;52162; 8.80; 0.14
 690;620;52261; 8.82; 0.08
2058;169;53349; 9.63; 0.04
 690;604;52261; 8.29; 0.19
1085;228;52531; 9.62; 0.08
 418;  3;51817; 8.69; 0.06
1085;245;52531; 8.38; 0.13
 419;323;51879; 9.06; 0.13
 691;313;52199; 8.70; 0.06
 691;390;52199; 8.55; 0.07
 419;337;51879; 8.28; 0.05
 655;562;52162; 9.31; 0.12
1905;424;53706; 8.24; 0.06
 690;585;52261; 8.95; 0.11
 419;391;51879; 7.62; 0.42
 655; 47;52162; 9.17; 0.11
 655;172;52162; 9.87; 0.18
1495;231;52944; 7.84; 1.08
 690;598;52261; 8.72; 0.16
 690; 12;52261; 9.15; 0.12
 690;593;52261; 9.28; 0.10
 690;583;52261; 8.34; 0.10
 419;396;51879; 8.86; 0.28
 690; 64;52261; 8.41; 0.36
 691;381;52199; 9.21; 0.14
 655;177;52162; 9.02; 0.09
 691;262;52199; 8.83; 0.21
 418; 71;51817; 8.77; 0.07
1085;425;52531; 8.98; 0.14
 419;365;51879; 9.18; 0.13
1897;239;53242; 9.40; 0.13
 655; 51;52162; 8.94; 0.04
 656;393;52148; 8.76; 0.39
 419;373;51879; 9.23; 0.08
 691;289;52199; 9.33; 0.06
2058;127;53349; 9.64; 0.69
 691;338;52199; 9.08; 0.15
1085;421;52531; 8.63; 0.16
 419;362;51879; 8.91; 0.14
1085;434;52531; 8.40; 0.11
 393;369;51794; 8.59; 0.03
 419;395;51879; 8.27; 0.11
 419;229;51879; 8.76; 0.21
 418; 39;51817; 8.37; 0.22
 691;267;52199; 8.46; 0.78
 690;590;52261; 8.68; 0.16
 690; 79;52261; 9.11; 0.13
 656;269;52148; 9.75; 0.06
 690; 10;52261; 9.00; 0.10
1085;207;52531; 8.34; 0.29
 656;282;52148; 8.43; 0.14
 691;282;52199; 7.63; 0.10
1905;468;53706; 9.32; 0.12
1905;475;53706; 8.46; 0.24
 691;334;52199; 8.16; 0.07
1085;187;52531; 9.06; 0.09
1085;204;52531; 8.56; 0.22
 419;427;51879; 9.26; 0.10
 691;270;52199; 9.02; 0.26
 691;396;52199; 9.54; 0.12
1495;479;52944; 8.55; 0.15
 419;251;51879; 8.96; 0.08
 419;260;51879; 9.13; 0.18
 690;596;52261; 8.33; 0.06
 418; 12;51817; 9.64; 0.06
 419;250;51879; 9.14; 0.08
 393;423;51794; 9.73; 0.12
 419;257;51879; 9.28; 0.04
 393;231;51794; 8.84; 0.09
2058; 95;53349; 8.72; 0.11
 419;376;51879; 9.41; 0.20
1085;419;52531; 8.89; 0.08
2058;531;53349; 8.66; 0.05
 393;228;51794; 8.99; 0.30
1495;401;52944; 7.79; 0.32
 419;374;51879; 9.04; 0.08
 393;219;51794; 9.40; 0.09
 656;270;52148; 8.94; 0.11
 690;599;52261; 9.18; 0.13
1085;407;52531; 8.49; 0.10
1085;415;52531; 9.07; 0.10
 691;335;52199; 9.36; 0.14
 656;290;52148; 8.55; 0.11
1905;418;53706; 9.00; 0.08
2058;146;53349; 8.79; 0.09
1495;220;52944; 8.28; 0.08
 393;361;51794; 8.56; 0.07
 419;420;51879; 9.42; 0.21
 656;225;52148; 9.17; 0.06
 691;362;52199; 9.19; 0.04
 393;419;51794; 9.39; 0.05
 691;367;52199; 9.03; 0.06
 691;394;52199; 8.78; 0.22
 393;422;51794; 9.08; 0.07
1085;173;52531; 9.05; 0.18
 419;418;51879; 9.17; 0.23
 393;407;51794; 9.45; 0.03
 690;632;52261; 8.23; 0.65
 419;463;51879; 8.56; 0.11
 393;199;51794; 9.29; 0.14
1495;140;52944; 8.38; 0.35
 393;181;51794;10.16; 0.07
 656;252;52148; 9.32; 0.08
1495;128;52944; 8.63; 0.05
1495;138;52944;     ;
1897;476;53242; 8.74; 0.13
 691;235;52199; 8.69; 0.11
 656;470;52148; 9.40; 0.08
 690;625;52261; 8.41; 0.28
 690;629;52261; 8.21; 0.11
 691;375;52199; 8.57; 0.11
1085;453;52531; 9.00; 0.27
 419;405;51879; 9.08; 0.13
1085;444;52531; 9.37; 0.21
 393;479;51794; 8.61; 0.18
 393;201;51794; 7.70; 0.18
 419;201;51879; 8.81; 0.19
 691;370;52199; 8.59; 0.11
 691;380;52199; 9.49; 0.07
1085;458;52531; 8.98; 0.12
 419;195;51879; 9.05; 0.05
 691;254;52199; 8.76; 0.17
 691;428;52199; 8.94; 0.10
 655;635;52162; 9.70; 0.13
1085;161;52531; 7.96; 0.50
 690;631;52261; 8.54; 0.08
1085;449;52531; 8.52; 0.11
2058;505;53349; 9.47; 0.16
 691;240;52199; 9.23; 0.12
 691;251;52199; 9.12; 0.07
1495;508;52944; 7.97; 0.12
1905;448;53706; 9.32; 0.05
 655;632;52162; 8.05; 1.26
 419;170;51879; 9.58; 0.21
 691;236;52199; 8.91; 0.24
 419;495;51879; 9.74; 0.13
 691;231;52199; 9.35; 0.10
1085;157;52531; 8.68; 0.52
 655;625;52162;     ;
1495;515;52944; 8.35; 0.10
 393;455;51794; 9.15; 0.08
 393;446;51794; 9.35; 0.09
 393;169;51794; 8.67; 0.35
 691;423;52199; 9.35; 0.06
 691;260;52199; 9.20; 0.08
 691;233;52199; 8.26; 0.16
 419;484;51879; 9.05; 0.05
 656;374;52148; 7.83; 1.43
 691;440;52199; 9.04; 0.15
 691;437;52199; 8.97; 0.14
 691;434;52199; 8.63; 0.20
 691;187;52199; 8.67; 0.28
 691;183;52199; 8.91; 0.08
 691;435;52199; 9.19; 0.17
 656;475;52148; 8.84; 0.23
 691;425;52199; 8.96; 0.13
 419;177;51879; 9.26; 0.11
 393;497;51794; 9.11; 0.08
1495; 93;52944; 8.86; 0.08
 393;495;51794; 9.39; 0.08
 419;520;51879; 9.18; 0.04
 691;208;52199; 8.08; 0.12
 656;183;52148; 8.93; 0.10
 691;431;52199; 9.02; 0.29
 419;106;51879; 9.05; 0.13
1085;531;52531; 9.20; 0.21
 656;195;52148; 9.50; 0.09
1495;117;52944; 8.86; 0.16
 691;207;52199; 9.29; 0.11
 419;130;51879; 8.68; 0.21
 419;121;51879; 8.93; 0.08
 419;142;51879; 9.01; 0.06
1085;528;52531; 9.58; 0.29
 691;420;52199; 8.96; 0.12
 393;488;51794; 8.66; 0.11
 656;214;52148; 8.92; 0.06
 419;150;51879; 8.88; 0.07
 393;489;51794; 8.61; 0.24
 691;214;52199; 8.93; 0.18
 419;444;51879; 8.98; 0.10
1085;542;52531; 9.20; 0.29
 691;473;52199; 8.49; 0.10
 419;158;51879; 9.42; 0.14
 691;411;52199; 8.85; 0.21
 691;442;52199; 8.84; 0.05
 419;148;51879; 9.10; 0.12
 691;466;52199; 8.55; 0.08
 691;186;52199; 9.01; 0.10
 691;463;52199; 9.14; 0.25
1496;302;52883; 9.22; 0.23
 393;122;51794; 9.30; 0.05
 393;152;51794; 8.81; 0.12
 656;184;52148; 8.73; 0.22
1495; 54;52944; 9.24; 0.94
 419;149;51879; 9.67; 0.15
1085;578;52531; 8.74; 0.49
 656;190;52148; 9.22; 0.08
 656;494;52148; 9.22; 0.15
2038;109;53327; 9.75; 0.07
1084;312;52591; 9.26; 0.13
 691;453;52199; 9.56; 0.26
 656;407;52148; 8.62; 0.38
 419;144;51879; 9.13; 0.09
1905;155;53706; 9.18; 0.11
1905;514;53706; 9.18; 0.15
 419;104;51879; 9.42; 0.05
 691;475;52199; 9.05; 0.37
 419;109;51879; 8.87; 0.15
 691;471;52199; 8.62; 0.06
 691;489;52199; 8.65; 0.80
 419; 81;51879; 8.47; 0.28
 419;533;51879; 9.14; 0.08
1897;507;53242; 9.20; 0.51
 393;515;51794; 8.90; 0.16
1905;148;53706; 8.70; 0.17
1897;133;53242; 9.31; 0.10
 691;449;52199; 8.33; 0.50
 691;168;52199; 8.65; 0.43
 419;540;51879; 8.96; 0.11
 691;497;52199; 8.87; 0.04
 691;441;52199; 8.51; 0.09
 691;175;52199; 9.15; 0.12
 656;414;52148; 8.98; 0.10
 691;500;52199; 9.28; 0.21
 691;180;52199; 9.03; 0.28
 656;135;52148; 9.15; 0.09
 691;487;52199; 8.51; 0.37
1905;559;53706; 8.79; 0.12
1905;560;53706; 8.93; 0.12
 419;528;51879; 9.16; 0.13
 691;494;52199; 9.44; 0.20
1085;  1;52531; 9.04; 0.09
