z6,,z7,,z8,,z9,
X,Y,X,Y,X,Y,X,Y
-21.5,9.45320197044335,-19.890510300495038,9.244312721575723,-19.84563758389262,8.733606557377048,-20.308724832214768,8.84710743801653
-21.013157894736842,9.246305418719212,-19.39253325150005,8.596338499059186,-18.85906040268457,8.401639344262295,-19.765100671140942,8.648760330578513
-20,8.788177339901477,-18.906055931970702,8.3307383569277,-18.3758389261745,8.278688524590162,-18.79865771812081,8.41322314049587
-19.55263157894737,8.625615763546797,-18.405559279328752,8.256288914551519,-17.369127516778526,7.823770491803279,,
-19.026315789473685,8.492610837438423,-17.90551486323882,8.078899127021941,-15.375838926174499,7.836065573770491,,
-18.513157894736842,8.300492610837438,-17.40547044714889,7.901509339492366,,,,
-18.013157894736842,8.152709359605911,-16.90549063628068,7.709413788369446,,,,
-17.513157894736842,7.886699507389162,-16.392589781069056,7.458470955915013,,,,
-17.013157894736842,7.960591133004926,-15.390885818346268,7.471335470689418,,,,
-16.5,7.650246305418719,,,,,,
-16.013157894736842,7.517241379310345,,,,,,
-15.000000000000004,7.354679802955665,,,,,,
-14.513157894736844,6.911330049261084,,,,,,
-13.526315789473687,7.029556650246306,,,,,,
