z,log10 L_bol [erg s^-1],log10 Phi [ cMpc^-1 dex^-1],lower uncertainity (log10),upper uncertainity (log10),Source
0,45.14126126168533,-5.73367081908949,0.03439161841746174,0.03439161841746174,Shen2020
0,45.25671421259673,-5.70767081908949,0.025958045827596303,0.025958045827596303,Shen2020
0,45.37247039719572,-5.92267081908949,0.023993765001528937,0.023993765001528937,Shen2020
0,45.48850914118659,-6.10067081908949,0.02465376022257914,0.02465376022257914,Shen2020
0,45.60481063189781,-6.32167081908949,0.02888242854480904,0.02888242854480904,Shen2020
0,45.72135597024536,-6.55167081908949,0.034617792824678466,0.034617792824678466,Shen2020
0,45.838127205372544,-6.78867081908949,0.04240329320066371,0.04240329320066371,Shen2020
0,45.95510735385051,-6.97767081908949,0.05027418474063094,0.05027418474063094,Shen2020
0,46.07228040538818,-7.14867081908949,0.059162489016998825,0.059162489016998825,Shen2020
0,46.1896313169902,-7.43267081908949,0.07828777456027612,0.07828777456027612,Shen2020
0,46.3071459974332,-7.68467081908949,0.10209294426544989,0.10209294426544989,Shen2020
0,46.424811283818435,-8.04567081908949,0.15220979334643192,0.15220979334643192,Shen2020
0,46.54261491181812,-8.267670819089489,0.19830690886471758,0.19830690886471758,Shen2020
0,46.77859241703592,-8.63767081908949,0.39350530065173595,0.39350530065173595,Shen2020
0,43.625970305439424,-4.327817186157983,0.16000000000000003,0.16000000000000003,Shen2020
0,44.10275248191585,-4.574829194798188,0.14,0.14,Shen2020
0,44.425957336618275,-4.853630586872782,0.115,0.115,Shen2020
0,44.75292796873701,-4.899930953496879,0.075,0.075,Shen2020
0,45.083199520316555,-5.303276766725736,0.08,0.08,Shen2020
0,45.41631340825377,-5.763179564764253,0.075,0.075,Shen2020
0,45.751836556465,-6.17913332614435,0.085,0.085,Shen2020
0,46.08937424982479,-6.680639250292664,0.09999999999999999,0.09999999999999999,Shen2020
0,46.42857702620029,-7.197236885790162,0.11,0.11,Shen2020
0,47.2819978429771,-8.94998281048243,0.20500000000000002,0.20500000000000002,Shen2020
0,44.10275248191585,-4.215209350527978,0.185,0.185,Shen2020
0,44.75292796873701,-4.690311109226669,0.14500000000000002,0.14500000000000002,Shen2020
0,45.083199520316555,-4.923656922455526,0.105,0.105,Shen2020
0,45.41631340825377,-5.373559720494043,0.11,0.11,Shen2020
0,45.751836556465,-5.74951348187414,0.11,0.11,Shen2020
0,46.08937424982479,-6.331019406022454,0.135,0.135,Shen2020
0,46.42857702620029,-6.807617041519952,0.15000000000000002,0.15000000000000002,Shen2020
0,46.769142727665546,-7.318918881188615,0.15500000000000003,0.15500000000000003,Shen2020
0,47.45338007034678,-8.834643805418015,0.14500000000000002,0.14500000000000002,Shen2020
0,42.02332169301051,-2.912086737309782,0.24,0.24,Shen2020
0,42.78670550317961,-3.9720867373097817,0.15000000000000002,0.15000000000000002,Shen2020
0,43.58544574584111,-4.472086737309782,0.12499999999999999,0.12499999999999999,Shen2020
0,44.15772606044656,-4.722086737309782,0.06999999999999999,0.06999999999999999,Shen2020
0,44.67773545418833,-5.132086737309782,0.075,0.075,Shen2020
0,45.139964854643615,-5.642086737309782,0.075,0.075,Shen2020
0,45.67480216805211,-6.312086737309782,0.08,0.08,Shen2020
