z,log10 M_star [M_sun],log10 Phi [ cMpc^-1 dex^-1],lower uncertainity (log10),upper uncertainity (log10),Source
0,7.1,-1.747146969020107,0.16649320030514492,1.0,Baldry2012
0,7.300000000000001,-1.3655227298392685,0.09791882758920134,1.0,Baldry2012
0,7.5,-1.5003129173815961,0.1455786434710029,1.0,Baldry2012
0,7.699999999999999,-1.458420756053419,0.11997531707674991,0.9999999999999999,Baldry2012
0,7.9,-1.563837352959244,0.07255066714861158,1.0,Baldry2012
0,8.1,-1.5482135644757098,0.045246255090334975,0.04097395350254729,Baldry2012
0,8.3,-1.6289321377282637,0.05931400121598185,0.05217801166507163,Baldry2012
0,8.5,-1.7166987712964503,0.028028723600243666,0.026328938722349093,Baldry2012
0,8.7,-1.744727494896694,0.06775178426684292,0.058594715265847475,Baldry2012
0,8.9,-1.8446639625349381,0.05496549234749892,0.04878394519086293,Baldry2012
0,8.69,-1.824645,0.0155007,0.014967,Davidzon2017
0,8.881,-1.848368,0.0160118,0.015442,Davidzon2017
0,9.068,-1.911877,0.0171993,0.016544,Davidzon2017
0,9.257,-1.994849,0.0188853,0.018098,Davidzon2017
0,9.444,-2.11251,0.0216698,0.02064,Davidzon2017
0,9.633,-2.184737,0.0235482,0.022337,Davidzon2017
0,9.823,-2.238934,0.0252576,0.023869,Davidzon2017
0,10.014,-2.347135,0.0285518,0.02679,Davidzon2017
0,10.2,-2.499282,0.0342386,0.031735,Davidzon2017
0,10.385,-2.546707,0.0362424,0.03345,Davidzon2017
0,10.568,-2.668167,0.0422925,0.038537,Davidzon2017
0,10.767,-2.815858,0.0507702,0.045451,Davidzon2017
0,10.931,-3.234682,0.0844823,0.070694,Davidzon2017
0,11.13,-3.785589,0.1760913,0.124939,Davidzon2017
0,8.325,-1.61077,0.0781608,0.0921256,Ilbert2013
0,8.6,-1.72838,0.0654645,0.0402831,Ilbert2013
0,8.875,-1.84895,0.0494698,0.0563587,Ilbert2013
0,9.15,-1.93739,0.0874991,0.0561996,Ilbert2013
0,9.45,-2.11158,0.0462345,0.0658206,Ilbert2013
0,9.725,-2.21096,0.0540489,0.0534888,Ilbert2013
0,10.0,-2.28629,0.0557629,0.0533299,Ilbert2013
0,10.275,-2.33684,0.0530837,0.0590106,Ilbert2013
0,10.55,-2.40736,0.0547873,0.0627931,Ilbert2013
0,10.825,-2.59635,0.0596925,0.0763052,Ilbert2013
0,11.075,-2.92669,0.107143,0.0835747,Ilbert2013
0,11.325,-3.36881,0.212255,0.171599,Ilbert2013
0,11.649999999999999,-4.27403,0.207601,0.181483,Ilbert2013
0,12.075,-5.24848,999.868,0.349834,Ilbert2013
0,9.05,-1.8883548365296972,0.016725340516816622,0.01558047252609307,Moustakas2013
0,9.149999999999999,-1.9446976016191106,0.014269478656088852,0.01337575351905862,Moustakas2013
0,9.25,-2.06208001377873,0.0860423813108451,0.0925169566904227,Moustakas2013
0,9.25,-1.9935887366963,0.013613853833763345,0.01219003082845016,Moustakas2013
0,9.350000000000001,-2.045980625993644,0.014302089640724436,0.012687327883383226,Moustakas2013
0,9.350000000000001,-2.1053263364527,0.185310464106533,0.177287459870832,Moustakas2013
0,9.350000000000001,-2.11542941579418,0.062943648722452,0.067803962575498,Moustakas2013
0,9.45,-2.0919650566192955,0.013085887910336602,0.011523816542687637,Moustakas2013
0,9.45,-2.15380469172792,0.145871179702463,0.139553809356605,Moustakas2013
0,9.45,-2.11851325581878,0.0374927740107269,0.0409319145641196,Moustakas2013
0,9.55,-2.145775649893461,0.013025208708596026,0.010878948663867849,Moustakas2013
0,9.55,-2.14172299303028,0.0370233256638159,0.0388297700168923,Moustakas2013
0,9.55,-2.22360963592615,0.0669954983698138,0.074915431867733,Moustakas2013
0,9.649999999999999,-2.176307150189295,0.01317864323743212,0.010240926772496994,Moustakas2013
0,9.649999999999999,-2.19606857974149,0.0394298916961149,0.0345219746044867,Moustakas2013
0,9.649999999999999,-2.23976486476353,0.149919805087912,0.15240164572143,Moustakas2013
0,9.649999999999999,-2.21346000843532,0.0639542295856392,0.0648510484567804,Moustakas2013
0,9.75,-2.22438630098598,0.0766571785808434,0.0720276754645437,Moustakas2013
0,9.75,-2.1876277069599257,0.013929340558199055,0.010675235123676963,Moustakas2013
0,9.75,-2.22060975723248,0.0594849691273445,0.0669301994031488,Moustakas2013
0,9.75,-2.22406304866054,0.0358774562540938,0.0350699944973001,Moustakas2013
0,9.850000000000001,-2.21358735606279,0.0398349635619613,0.0387374753491456,Moustakas2013
0,9.850000000000001,-2.26408282776688,0.0613061976982112,0.0615955871413134,Moustakas2013
0,9.850000000000001,-2.2188809136492096,0.01346844586305096,0.009699297319586186,Moustakas2013
0,9.850000000000001,-2.23261222655662,0.0404689297135339,0.0394013995171285,Moustakas2013
0,9.95,-2.24335047327577,0.0565197773979862,0.0597622765864627,Moustakas2013
0,9.95,-2.26420013524627,0.0508881928541114,0.0537700939753325,Moustakas2013
0,9.95,-2.27598048928922,0.0386578571555454,0.0417153947951965,Moustakas2013
