Default Dataset,
X,Y
-21.346811819595647,-4.576292559899124
-20.8646967340591,-4.041614123581342
-20.35147744945568,-3.6431273644388433
-19.853810264385693,-3.330390920554858
-19.36391912908243,-3.0479192938209367
-18.601866251944013,-2.6897856242118574
-18.236391912908243,-2.41740226986129
-17.74650077760498,-2.2206809583858758
-17.241057542768274,-1.9886506935687254
-16.758942457231726,-1.8272383354350537
-16.261275272161743,-1.7112232030264798
-15.748055987558322,-1.5346784363177755
-15.250388802488338,-1.3732660781841077
-14.752721617418354,-1.39344262295082
-14.239502332814931,-1.3883984867591408
-13.757387247278384,-1.474148802017653
-13.244167962674963,-1.5598991172761656
-21.85225505443235,-4.586380832282478
