Default Dataset,
X,Y
-21.346811819595647,-4.7629255989911865
-20.8646967340591,-4.157629255989921
-20.35147744945568,-3.7389659520807133
-19.853810264385693,-3.411097099621696
-19.36391912908243,-3.133669609079452
-18.601866251944013,-2.7755359394703727
-18.236391912908243,-2.508196721311482
-17.74650077760498,-2.3064312736443906
-17.241057542768274,-2.0693568726355593
-16.758942457231726,-2.0189155107187835
-16.261275272161743,-1.8625472887767929
-15.748055987558322,-1.897856242118527
-15.250388802488338,-1.7414880201765366
-14.752721617418354,-2.1147540983606463
-14.24727838258165,-1.9129886506935598
-13.757387247278384,-2.205548549810833
-13.244167962674963,-2.9672131147541156
-21.860031104199066,-4.737704918032793
