Default Dataset,
X,Y
-21.84447900466563,-4.435056746532157
-21.346811819595647,-4.384615384615385
-20.8646967340591,-3.9205548549810847
-20.35147744945568,-3.557377049180328
-19.853810264385693,-3.254728877679698
-19.34059097978227,-2.9621689785624215
-18.62519440124417,-2.598991172761665
-18.283048211508554,-2.326607818411097
-17.723172628304823,-2.1349306431273645
-17.241057542768274,-1.9331651954602773
-16.758942457231726,-1.600252206809584
-16.261275272161743,-1.5598991172761665
-15.748055987558322,-1.176544766708701
-15.250388802488338,-1.005044136191677
-14.752721617418354,-0.662042875157629
-14.239502332814931,-0.8436317780580074
-13.757387247278384,-0.7225725094577551
-13.244167962674963,-0.147540983606557
