Dataset 1,,Dataset 2,,Dataset 3,,Dataset 4,
X,Y,X,Y,X,Y,X,Y
-21.885542650804336,0.000007173056826708342,-15.429071803852889,0.0000824977394618996,-20.80910683012259,0.000024594363045690087,-21.002391578630213,0.000010638532396396783
-20.930111905692268,0.00006684230739345788,-16.353765323992995,0.0003438651317332644,-19.828371278458842,0.00015829271075922105,-20.103383989605117,0.00007247947748081325
-19.975283765906664,0.00037961539737274693,-17.278458844133098,0.0013470386406392173,-18.93169877408056,0.0006597919433025591,-19.317063066116802,0.0003009501912544512
-19.021208882779142,0.001160961279719546,-18.231173380035028,0.0026660973964459603,-17.95096322241681,0.0017810407428829518,,
-18.06713399965162,0.003550517450915189,-19.15586690017513,0.007196856730011514,-17.026269702276707,0.006162506812662947,,
-17.11388769884799,0.005496234461879518,-20.108581436077056,0.028192576716355895,-16.07355516637478,0.016635055676351804,,
-16.159586838723044,0.02023879763397083,,,,,,
-15.23390973160524,0.04541531288966167,,,,,,
-14.251964352128658,0.12273250866140553,,,,,,
