Dataset 1,,Dataset 2,,Dataset 3,,Dataset 4,
X,Y,X,Y,X,Y,X,Y
-21.884676405647543,0.00001461657137926506,-15.429071803852889,0.00017373694608106548,-20.80910683012259,0.00005021212777867885,-21.001600662862742,0.000020376978393132285
-20.92920799770257,0.00014048617789529354,-16.353765323992995,0.000530966823034697,-19.856392294220665,0.0002444219258804215,-20.102555411182053,0.00014319042512790504
-19.9747188234131,0.0006038897686633416,-17.278458844133098,0.001726619993322439,-18.93169877408056,0.0010840278284471167,-19.316272150349334,0.0005764381134636849
-19.020681603118483,0.0017905673632535614,-18.231173380035028,0.003869020921660342,-17.978984238178633,0.0023548738930783608,,
-18.066719708489675,0.004990474145858437,-19.15586690017513,0.011824322882193549,-17.026269702276707,0.010773207220077293,,
-17.11343574485314,0.007968128564952994,-20.108581436077056,0.049285863734726314,-16.07355516637478,0.02819257671635604,,
-16.159021896229483,0.032195751030619946,,,,,,
-15.233231800612964,0.07927548970994544,,,,,,
-14.251135769804767,0.2424710695503184,,,,,,
