Dataset 0,,Dataset 1,,Dataset 2,,Dataset 3,,Dataset 4,,Dataset 5,,Dataset 6,,Dataset 7,,Dataset 8,
X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y
-20.116746411483252,-2.7640449438202253,-22.52822966507177,-5.202247191011236,-22.700478468899522,-5.292134831460674,-23.12535885167464,-5.853932584269663,-22.516746411483254,-5.719101123595506,-22.195215311004784,-6.033707865168539,-21.850717703349282,-5.573033707865169,-21.919617224880383,-6.112359550561798,-21.25358851674641,-6.01123595505618
-19.622966507177033,-2.5168539325842705,-21.770334928229666,-4.1123595505617985,-22.183732057416268,-4.820224719101124,-22.620095693779902,-5.370786516853933,-22.011483253588516,-4.853932584269663,-21.68995215311005,-4.404494382022472,-21.345454545454544,-4.932584269662922,-21.127272727272725,-5.157303370786517,-20.254545454545454,-5
-19.117703349282294,-2.3483146067415737,-21.265071770334927,-3.415730337078652,-21.689952153110045,-3.8314606741573036,-22.10334928229665,-4.53932584269663,-21.529186602870812,-4.280898876404494,-21.18468899521531,-4.3258426966292145,-20.86315789473684,-4.393258426966293,-20.311961722488036,-4.573033707865169,-19.24401913875598,-4.460674157303371
-18.61244019138756,-2.235955056179776,-20.771291866028708,-3.123595505617978,-21.196172248803826,-3.471910112359551,-21.621052631578948,-4.04494382022472,-21.012440191387558,-3.7640449438202253,-20.679425837320572,-3.707865168539326,-20.12822966507177,-3.910112359550562,-19.12918660287081,-3.730337078651686,-18.25645933014354,-3.719101123595506
-18.11866028708134,-2.1011235955056184,-20.26602870813397,-2.7977528089887644,-20.679425837320572,-3.1573033707865172,-21.127272727272725,-3.584269662921349,-20.530143540669854,-3.5056179775280905,-20.185645933014353,-3.5505617977528092,-19.358851674641148,-3.168539325842697,-17.923444976076553,-3.0449438202247197,-17.2688995215311,-3.2022471910112364
-17.613397129186602,-1.9325842696629218,-19.77224880382775,-2.6516853932584272,-20.185645933014353,-2.7977528089887644,-20.599043062200955,-3.2359550561797756,-20.0133971291866,-3.1460674157303377,-19.691866028708134,-3.247191011235955,-18.60095693779904,-2.9662921348314613,,,,
-16.614354066985648,-1.8089887640449445,-19.278468899521528,-2.4606741573033712,-19.691866028708134,-2.6404494382022476,-20.105263157894736,-3.0561797752808992,-19.5311004784689,-2.932584269662922,-19.19808612440191,-2.921348314606742,-17.601913875598086,-2.5056179775280905,,,,
,,-18.773205741626793,-2.3370786516853936,-19.19808612440191,-2.5280898876404496,-19.611483253588517,-2.7977528089887644,-18.773205741626793,-2.5617977528089897,-18.70430622009569,-2.8426966292134837,,,,,,
,,-18.279425837320574,-2.2022471910112364,-18.68133971291866,-2.3595505617977537,-19.12918660287081,-2.6629213483146073,,,-17.946411483253588,-2.235955056179776,,,,,,
,,-17.774162679425835,-1.9438202247191017,-17.923444976076553,-1.9887640449438209,-18.35980861244019,-2.3370786516853936,,,-16.935885167464114,-2.078651685393259,,,,,,
,,-17.25741626794258,-1.9887640449438209,-16.935885167464114,-1.5617977528089892,-17.349282296650717,-2.0674157303370793,,,,,,,,,,
,,,,-15.936842105263157,-1.5505617977528097,-16.361722488038275,-1.5955056179775287,,,,,,,,,,
