Dataset 0,,Dataset 1,,Dataset 2,,Dataset 3,,Dataset 4,,Dataset 5,,Dataset 6,,Dataset 7,,Dataset 8,
X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y
-20.089866156787764,-2.7078651685393265,-22.521988527724666,-4.921348314606742,-22.682600382409177,-5.044943820224719,-23.107074569789674,-5.561797752808989,-22.49904397705545,-5.404494382022472,-22.189292543021033,-5.49438202247191,-21.84512428298279,-5.348314606741573,-21.91395793499044,-5.876404494382022,-21.248565965583175,-5.752808988764045
-19.59655831739962,-2.4831460674157313,-21.764818355640536,-3.943820224719101,-22.189292543021033,-4.617977528089888,-22.60229445506692,-5.179775280898877,-22.01720841300191,-4.719101123595506,-21.68451242829828,-4.292134831460674,-21.351816443594647,-4.797752808988765,-21.122370936902485,-5,-20.250478011472275,-4.820224719101124
-19.11472275334608,-2.3033707865168545,-21.260038240917783,-3.314606741573034,-21.673040152963672,-3.7752808988764053,-22.108986615678777,-4.460674157303371,-21.523900573613766,-4.213483146067416,-21.191204588910132,-4.202247191011237,-20.858508604206502,-4.292134831460674,-20.319311663479922,-4.460674157303371,-19.252390057361378,-4.247191011235955
-18.59847036328872,-2.2022471910112364,-20.755258126195027,-3.0561797752808992,-21.179732313575528,-3.415730337078652,-21.61567877629063,-3.9775280898876413,-21.007648183556405,-3.719101123595506,-20.697896749521988,-3.6292134831460676,-20.089866156787764,-3.7977528089887644,-19.11472275334608,-3.471910112359551,-18.254302103250478,-3.5056179775280905
-18.105162523900574,-2.0674157303370793,-20.261950286806883,-2.7528089887640457,-20.674952198852772,-3.123595505617978,-21.122370936902485,-3.5393258426966296,-20.502868068833653,-3.449438202247191,-20.181644359464627,-3.4606741573033712,-19.35564053537285,-3.0449438202247197,-17.921606118546848,-2.8539325842696632,-17.244741873804973,-2.932584269662922
-17.61185468451243,-1.9101123595505625,-19.75717017208413,-2.617977528089888,-20.181644359464627,-2.7528089887640457,-20.594646271510516,-3.2022471910112364,-20.021032504780116,-3.089887640449439,-19.69980879541109,-3.1460674157303377,-18.58699808795411,-2.831460674157304,,,,
,,-19.263862332695986,-2.426966292134832,-19.688336520076483,-2.606741573033708,-20.101338432122372,-3.02247191011236,-19.51625239005736,-2.887640449438203,-19.183556405353727,-2.831460674157304,-17.600382409177822,-2.382022471910113,,,,
,,-18.77055449330784,-2.3033707865168545,-19.183556405353727,-2.4606741573033712,-19.608030592734224,-2.7528089887640457,-18.782026768642446,-2.4831460674157313,-18.690248565965582,-2.7303370786516856,,,,,,
,,-18.265774378585085,-2.179775280898877,-18.678776290630978,-2.2921348314606744,-19.10325047801147,-2.595505617977529,-17.77246653919694,-2.01123595505618,-17.944550669216063,-2.1348314606741576,,,,,,
,,-17.77246653919694,-1.921348314606742,-17.921606118546848,-1.9550561797752815,-18.334608030592733,-2.2921348314606744,-16.762906309751436,-1.6516853932584277,-16.946462715105163,-1.9550561797752815,,,,,,
,,-17.26768642447419,-1.9325842696629218,-16.934990439770555,-1.5056179775280905,-17.37093690248566,-1.9887640449438209,,,,,,,,,,
,,,,-15.936902485659656,-1.4382022471910119,-16.361376673040155,-1.4831460674157309,,,,,,,,,,
