4,,5,,Dataset 2,,Dataset 3,,Dataset 4,
X,Y,X,Y,X,Y,X,Y,X,Y
-22.696991502324835,-5.483428571428571,-22.625475068141736,-5.204571428571429,-22.51718710918711,-5.6891428571428575,-22.166659611992944,-6.009142857142857,-21.85318582651916,-5.314285714285714
-22.18594067660734,-4.829714285714286,-22.132520121853453,-4.427428571428572,-22.024334776334776,-4.820571428571428,-21.665567420234087,-4.482285714285714,-21.350872534872533,-4.8754285714285714
-21.69767516434183,-3.874285714285714,-21.603270803270803,-3.988571428571429,-21.54012249478916,-4.2537142857142864,-21.15396761263428,-4.3177142857142865,-20.86677312810646,-4.208
-21.190928972262306,-3.3851428571428577,-21.12788327721661,-3.558857142857143,-21.010924482924484,-3.769142857142857,-20.68776398909732,-3.7051428571428575,-20.363926246592914,-4.244571428571429
-20.70634728234728,-3.1474285714285717,-20.625528940195608,-3.156571428571429,-20.53536251402918,-3.494857142857143,-20.16721628988296,-3.5131428571428573,-19.862002886002884,-3.4582857142857146
-20.203957030623695,-2.7771428571428585,-20.131917267917267,-2.964571428571429,-20.041915023248357,-3.156571428571429,-19.66479012345679,-3.1748571428571433,-19.359412538079205,-3.2662857142857145
-19.687873015873016,-2.6080000000000005,-19.62922430655764,-2.8640000000000003,-19.530417829084495,-2.9005714285714292,-19.180095558762225,-3.0377142857142863,-18.59656373256373,-2.964571428571429
-19.19863267596601,-2.5211428571428574,-19.126654481321147,-2.653714285714286,-18.776434824434823,-2.6994285714285717,-18.668618887285554,-2.763428571428572,-17.591393298059963,-2.571428571428572
-18.700598364598363,-2.2697142857142865,-18.372804874138208,-2.333714285714286,-17.78937566137566,-2.169142857142858,-17.92398396665063,-2.2331428571428575,,
-18.193416065416066,-2.169142857142858,-17.367511303511304,-2.0502857142857147,-16.76613500080167,-1.8765714285714292,-16.927545935545936,-2.059428571428572,,
-17.69530479397146,-1.9862857142857149,-16.380349527016193,-1.611428571428572,,,,,,
-16.954984768318102,-1.611428571428572,,,,,,,,
