Dataset 0,,Dataset 1,,Dataset 2,,Dataset 3,,Dataset 4,
X,Y,X,Y,X,Y,X,Y,X,Y
-22.695898610662688,-6.5479452054794525,-22.62290074771049,-5.506849315068493,-22.51630459849638,-6.529680365296803,-22.14819939629681,-6.5479452054794525,-21.859877311932106,-5.65296803652968
-22.19163732710156,-5.251141552511416,-22.11903919970891,-4.566210045662101,-22.020806748356215,-5.041095890410959,-21.652209563929503,-4.621004566210045,-21.365445423284083,-5.114155251141552
-21.68738629317016,-3.9634703196347036,-21.61564913467501,-4.045662100456621,-21.5172526892466,-4.374429223744292,-21.14923973371462,-4.474885844748859,-20.843841766216194,-4.365296803652969
-21.192985153411332,-3.4520547945205484,-21.103382890293087,-3.6164383561643834,-21.013831875323504,-3.8264840182648405,-20.654643850990883,-3.7899543378995437,-20.359116276924496,-4.474885844748859
-20.69889150254447,-3.214611872146119,-20.627072347011463,-3.223744292237443,-20.519707475567444,-3.561643835616439,-20.151643271886805,-3.6164383561643834,-19.873335075770388,-3.643835616438356
-20.195614183437623,-2.794520547945206,-20.106083667727503,-3.0228310502283104,-20.007533477853112,-3.214611872146119,-19.64843770018808,-3.26027397260274,-19.352418143894553,-3.5068493150684934
-19.67469725156179,-2.6575342465753424,-19.60315483603155,-2.9132420091324205,-19.50443040245171,-2.9497716894977173,-19.154477294507736,-3.1415525114155254,-18.606778080141854,-3.1415525114155254
-19.18076759477064,-2.5662100456621006,-19.100144007297736,-2.7305936073059365,-18.76801500545793,-2.80365296803653,-18.642436541979922,-2.9132420091324205,-17.59177774702889,-2.776255707762558
-18.695632120289652,-2.3105022831050235,-18.3545551916937,-2.41095890410959,-17.761819104284857,-2.2831050228310508,-17.90555991164819,-2.3561643835616444,,
-18.174786935821942,-2.23744292237443,-17.357645455057934,-2.1643835616438363,-16.773877793664703,-2.027397260273973,-16.908824418717874,-2.2648401826484026,,
-17.67181710560706,-2.0913242009132427,-16.351582799071384,-1.7625570776255712,,,,,,
-16.944083144996387,-1.6803652968036535,,,,,,,,
