z,log mc,log A,gamma,delta
10.0,12.81962615152398,19.239245411694768,1.0807402949354867,0.46945545453617166
11.0,12.912791158468305,19.317546214354124,0.7623814412016787,0.4954568385126614
12.0,12.808694039180768,19.565369564728663,0.8311492733714254,0.49709182605320074
13.0,12.81757076280433,19.845597747293148,0.9165834798292043,0.5081475512834096
14.0,12.565427523463718,20.038862342388782,0.9902368767058285,0.5128096963828983
15.0,12.732806646550223,20.306103302557673,1.0174186699097048,0.5055030030698653
16.0,12.654848946616841,20.606543255273507,1.0706449570213392,0.5196466700189645
17.0,12.508271112764998,20.84114097342789,1.142734830359006,0.4791661383101382
18.0,12.525446470462029,21.07844378668095,1.1841781220928964,0.4989391823559958
19.0,12.446759640874761,21.371331201382667,1.2698960706078002,0.5197891651970896
